category	evidence	address	type	mangled	demangled
ipc-server	D1	000000010013f9e4	T	$s11ComputerUse010ExecutableaB10IPCRequestPAAE6handle8ResponseQzyYaKF	(extension in ComputerUse):ComputerUse.ExecutableComputerUseIPCRequest.handle() async throws -> A.Response
ipc-server	D1	0000000100152cbc	T	$s11ComputerUse0aB9IPCServerC16jsonRPCSocketURLAC10Foundation0F0VSg_tcfC	ComputerUse.ComputerUseIPCServer.__allocating_init(jsonRPCSocketURL: Foundation.URL?) -> ComputerUse.ComputerUseIPCServer
ipc-server	D1	00000001001531bc	T	$s11ComputerUse0aB9IPCServerC5start32terminatesWhenNoActiveIPCClients31ensureApplicationHasPermissions30prepareForAuthenticatedRequest9onAppUsed0R14CodexTurnEnded015shouldTerminatefG13ClientsRemainySb_AA0aB19IPCPermissionResultOAA0ab13IPCPermissionQ6SourceO_SSSgtYaScMYccSgyAA0aB16IPCSenderContextVYaKScMYccSgySScSgATSbyScMYccSgtF	ComputerUse.ComputerUseIPCServer.start(terminatesWhenNoActiveIPCClients: Swift.Bool, ensureApplicationHasPermissions: (@Swift.MainActor (ComputerUse.ComputerUseIPCPermissionRequestSource, Swift.String?) async -> ComputerUse.ComputerUseIPCPermissionResult)?, prepareForAuthenticatedRequest: (@Swift.MainActor (ComputerUse.ComputerUseIPCSenderContext) async throws -> ())?, onAppUsed: ((Swift.String) -> ())?, onCodexTurnEnded: ((Swift.String) -> ())?, shouldTerminateWhenNoClientsRemain: (@Swift.MainActor () -> Swift.Bool)?) -> ()
ipc-server	D1	00000001001535a4	T	$s11ComputerUse0aB9IPCServerC4stopyyF	ComputerUse.ComputerUseIPCServer.stop() -> ()
ipc-server	D1	0000000100153c94	t	-[_TtC11ComputerUse20ComputerUseIPCServer handleEvent:withReplyEvent:]	-[ComputerUse.ComputerUseIPCServer handleEvent:withReplyEvent:]
ipc-server	D1	000000010015f4c0	t	-[_TtC11ComputerUse24ComputerUseIPCXPCSession init]	-[ComputerUse.ComputerUseIPCXPCSession init]
ipc-server	D1	000000010015f520	t	-[_TtC11ComputerUse24ComputerUseIPCXPCSession .cxx_destruct]	-[ComputerUse.ComputerUseIPCXPCSession .cxx_destruct]
ipc-server	D1	000000010015f658	t	-[_TtC11ComputerUse24ComputerUseIPCXPCSession listener:shouldAcceptNewConnection:]	-[ComputerUse.ComputerUseIPCXPCSession listener:shouldAcceptNewConnection:]
ipc-server	D1	000000010015fac8	t	-[_TtC11ComputerUse24ComputerUseIPCXPCSession sendRequestWithTypeName:requestData:codexMetadataData:withReply:]	-[ComputerUse.ComputerUseIPCXPCSession sendRequestWithTypeName:requestData:codexMetadataData:withReply:]
ipc-server	D1	0000000100dabe54	S	$s11ComputerUse010ExecutableaB10IPCRequestTL	protocol requirements base descriptor for ComputerUse.ExecutableComputerUseIPCRequest
ipc-server	D1	0000000100dabe5c	S	$s11ComputerUse010ExecutableaB10IPCRequestP0aB6Client0abD0Tb	base conformance descriptor for ComputerUse.ExecutableComputerUseIPCRequest: ComputerUseClient.ComputerUseIPCRequest
ipc-server	D2	0000000100f9d520	s	OBJC_CLASS_$__TtC11ComputerUse24ComputerUseIPCXPCSession	OBJC_CLASS_$_ComputerUse.ComputerUseIPCXPCSession
ipc-server	D2	0000000100faa420	d	OBJC_METACLASS_$__TtC11ComputerUse24ComputerUseIPCXPCSession	OBJC_METACLASS_$_ComputerUse.ComputerUseIPCXPCSession
ipc-server	D2	0010000000d1dc18	s	OBJC_IVAR_$__TtC11ComputerUse20ComputerUseIPCServer.ensureApplicationHasPermissions	OBJC_IVAR_$_ComputerUse.ComputerUseIPCServer with unmangled suffix ".ensureApplicationHasPermissions"
ipc-server	D2	0010000000d1dc20	s	OBJC_IVAR_$__TtC11ComputerUse20ComputerUseIPCServer.prepareForAuthenticatedRequest	OBJC_IVAR_$_ComputerUse.ComputerUseIPCServer with unmangled suffix ".prepareForAuthenticatedRequest"
ipc-server	D2	0010000000d1dc28	s	OBJC_IVAR_$__TtC11ComputerUse20ComputerUseIPCServer.onAppUsed	OBJC_IVAR_$_ComputerUse.ComputerUseIPCServer with unmangled suffix ".onAppUsed"
ipc-server	D2	0010000000d1dc30	s	OBJC_IVAR_$__TtC11ComputerUse20ComputerUseIPCServer.onCodexTurnEnded	OBJC_IVAR_$_ComputerUse.ComputerUseIPCServer with unmangled suffix ".onCodexTurnEnded"
ipc-server	D2	0010000000d1dc38	s	OBJC_IVAR_$__TtC11ComputerUse20ComputerUseIPCServer.shouldTerminateWhenNoClientsRemain	OBJC_IVAR_$_ComputerUse.ComputerUseIPCServer with unmangled suffix ".shouldTerminateWhenNoClientsRemain"
ipc-server	D2	0010000000d1dc40	s	OBJC_IVAR_$__TtC11ComputerUse20ComputerUseIPCServer.clientExitSources	OBJC_IVAR_$_ComputerUse.ComputerUseIPCServer with unmangled suffix ".clientExitSources"
ipc-server	D2	0010000000d1dc48	s	OBJC_IVAR_$__TtC11ComputerUse20ComputerUseIPCServer.xpcSessions	OBJC_IVAR_$_ComputerUse.ComputerUseIPCServer with unmangled suffix ".xpcSessions"
ipc-server	D2	0010000000d1dc50	s	OBJC_IVAR_$__TtC11ComputerUse20ComputerUseIPCServer.senderAuthorization	OBJC_IVAR_$_ComputerUse.ComputerUseIPCServer with unmangled suffix ".senderAuthorization"
ipc-server	D2	0010000000d1dc58	s	OBJC_IVAR_$__TtC11ComputerUse20ComputerUseIPCServer.senderContextResolver	OBJC_IVAR_$_ComputerUse.ComputerUseIPCServer with unmangled suffix ".senderContextResolver"
ipc-server	D2	0010000000d1dc68	s	OBJC_IVAR_$__TtC11ComputerUse20ComputerUseIPCServer.terminatesWhenNoActiveIPCClients	OBJC_IVAR_$_ComputerUse.ComputerUseIPCServer with unmangled suffix ".terminatesWhenNoActiveIPCClients"
ipc-server	D2	0010000000d1dc70	s	OBJC_IVAR_$__TtC11ComputerUse20ComputerUseIPCServer.jsonRPCSocketServer	OBJC_IVAR_$_ComputerUse.ComputerUseIPCServer with unmangled suffix ".jsonRPCSocketServer"
ipc-server	D2	0010000000faa400	s	OBJC_IVAR_$__TtC11ComputerUse24ComputerUseIPCXPCSession.listener	OBJC_IVAR_$_ComputerUse.ComputerUseIPCXPCSession with unmangled suffix ".listener"
